Book-ID,Book-Title,Book-Author,Year-Of-Publication,N_ratings,avg_rating
97861,Wild Animus,Rich Shapero,2004,21,0.7619047619047619
50555,The Da Vinci Code,Dan Brown,2003,10,5.0
261787,Where the Heart Is (Oprah's Book Club (Paperback)),Billie Letts,1998,10,4.3
84346,The Red Tent (Bestselling Backlist),Anita Diamant,1998,9,3.3333333333333335
114855,The Lovely Bones: A Novel,Alice Sebold,2002,9,3.0
38052,The Joy Luck Club,Amy Tan,1994,7,5.142857142857143
71275,The Poisonwood Bible: A Novel,Barbara Kingsolver,1999,7,3.7142857142857144
153566,Harry Potter and the Order of the Phoenix (Book 5),J. K. Rowling,2003,7,4.857142857142857
190581,Little Altars Everywhere: A Novel,Rebecca Wells,1996,7,2.4285714285714284
152477,House of Sand and Fog,Andre Dubus III,2000,6,4.5
252111,Interview with the Vampire,Anne Rice,1993,6,2.6666666666666665
180956,Jurassic Park,Michael Crichton,1999,6,3.0
13158,The Girls' Guide to Hunting and Fishing,Melissa Bank,2000,6,4.166666666666667
111012,The Notebook,Nicholas Sparks,1998,6,3.6666666666666665
192025,Seabiscuit: An American Legend,LAURA HILLENBRAND,2002,6,5.666666666666667
182910,The Pilot's Wife : A Novel,Anita Shreve,1999,6,2.3333333333333335
108350,The Hours: A Novel,Michael Cunningham,2002,6,0.8333333333333334
77019,The Nanny Diaries: A Novel,Emma McLaughlin,2002,6,2.0
211579,One Door Away from Heaven,Dean R. Koontz,2002,5,2.0
107558,How to Be Good,Nick Hornby,2002,5,4.4
10881,"The Vampire Lestat (Vampire Chronicles, Book II)",ANNE RICE,1986,5,8.6
193652,The Kitchen God's Wife,Amy Tan,1992,5,5.8
156625,The King of Torts,John Grisham,2003,5,4.4
77238,Angels &amp; Demons,Dan Brown,2001,5,1.6
196286,Timeline,MICHAEL CRICHTON,2000,5,6.2
67166,Hot Six : A Stephanie Plum Novel (A Stephanie Plum Novel),Janet Evanovich,2001,5,3.0
241844,White Oleander : A Novel (Oprah's Book Club),Janet Fitch,2000,5,3.6
74461,Fahrenheit 451,RAY BRADBURY,1987,5,2.0
70343,The Bonesetter's Daughter,Amy Tan,2002,5,3.6
4179,Empire Falls,Richard Russo,2002,5,1.2
261929,The Firm,John Grisham,1992,5,3.4
162847,A Prayer for Owen Meany,John Irving,1990,5,3.8
201202,Native Tongue,Carl Hiaasen,1992,5,4.8
210895,Cold Mountain : A Novel,CHARLES FRAZIER,1998,5,2.4
152361,Zoya,Danielle Steel,1989,4,2.25
52594,Black Notice,Patricia Daniels Cornwell,2000,4,2.25
136580,The Last Suppers,DIANE MOTT DAVIDSON,1995,4,4.25
214977,The Street Lawyer,JOHN GRISHAM,1999,4,4.25
18561,The Summerhouse,Jude Deveraux,2002,4,3.75
102220,Life of Pi,Yann Martel,2003,4,2.0
41748,M Is for Malice,Sue Grafton,1998,4,1.75
6181,Violets Are Blue,James Patterson,2001,4,6.5
77638,Fall On Your Knees (Oprah #45),Ann-Marie MacDonald,2002,4,3.75
254650,We Were the Mulvaneys,Joyce Carol Oates,1996,4,7.0
106143,Wicked: The Life and Times of the Wicked Witch of the West,Gregory Maguire,1996,4,2.5
51570,From the Corner of His Eye,Dean Koontz,2001,4,2.75
115328,Good in Bed,Jennifer Weiner,2002,4,3.75
118663,Confessions of an Ugly Stepsister : A Novel,Gregory Maguire,2000,4,5.25
176556,Cause of Death,Patricia Daniels Cornwell,1997,4,4.0
83161,The Eyre Affair (Alex Awards (Awards)),Jasper Fforde,2002,4,1.75
163526,The Secret Life of Bees,Sue Monk Kidd,2003,4,7.25
167465,Timeline,Michael Crichton,1999,4,2.25
267306,Snow Falling on Cedars,David Guterson,1995,4,1.5
216818,Slow Waltz in Cedar Bend,Robert James Waller,1994,4,1.5
143203,1st to Die: A Novel,James Patterson,2002,4,3.0
92820,The Color Purple,Alice Walker,1990,4,2.25
86260,The Grapes of Wrath,John Steinbeck,1976,4,5.0
201942,Midwives: A Novel,Chris Bohjalian,1998,4,0.0
235318,A Heartbreaking Work of Staggering Genius,Dave Eggers,2001,4,5.75
149806,Corelli's Mandolin : A Novel,LOUIS DE BERNIERES,1995,4,4.75
23191,The Testament,John Grisham,1999,4,2.0
46686,The Body Farm,Patricia Daniels Cornwell,1995,4,6.0
239282,The Last Precinct,Patricia Cornwell,2001,4,1.5
176344,A Painted House,John Grisham,2001,4,7.0
111481,The Corrections: A Novel,Jonathan Franzen,2002,4,2.25
228563,K Is for Killer (Kinsey Millhone Mysteries (Paperback)),Sue Grafton,1999,4,5.75
158191,Digital Fortress : A Thriller,Dan Brown,2003,4,2.0
192058,How to Be a Canadian: Even If You Already are One,Will Ferguson,2003,4,4.25
216168,Ender's Game (Ender Wiggins Saga (Paperback)),Orson Scott Card,1994,4,6.0
21032,The Reader,Bernhard Schlink,1999,4,5.5
66153,The Corrections,Jonathan Franzen,2001,4,0.0
240768,While I Was Gone,Sue Miller,1999,4,5.0
206174,Divine Secrets of the Ya-Ya Sisterhood: A Novel,Rebecca Wells,1997,4,2.0
