Book-ID,Book-Title,Book-Author,Year-Of-Publication,N_ratings,avg_rating
10881,"The Vampire Lestat (Vampire Chronicles, Book II)",ANNE RICE,1986,5,8.6
163526,The Secret Life of Bees,Sue Monk Kidd,2003,4,7.25
176344,A Painted House,John Grisham,2001,4,7.0
254650,We Were the Mulvaneys,Joyce Carol Oates,1996,4,7.0
6181,Violets Are Blue,James Patterson,2001,4,6.5
196286,Timeline,MICHAEL CRICHTON,2000,5,6.2
46686,The Body Farm,Patricia Daniels Cornwell,1995,4,6.0
216168,Ender's Game (Ender Wiggins Saga (Paperback)),Orson Scott Card,1994,4,6.0
193652,The Kitchen God's Wife,Amy Tan,1992,5,5.8
235318,A Heartbreaking Work of Staggering Genius,Dave Eggers,2001,4,5.75
