Book-ID,Book-Title,Book-Author,Year-Of-Publication,N_ratings,avg_rating
97861,Wild Animus,Rich Shapero,2004,21,0.7619047619047619
261787,Where the Heart Is (Oprah's Book Club (Paperback)),Billie Letts,1998,10,4.3
50555,The Da Vinci Code,Dan Brown,2003,10,5.0
84346,The Red Tent (Bestselling Backlist),Anita Diamant,1998,9,3.3333333333333335
114855,The Lovely Bones: A Novel,Alice Sebold,2002,9,3.0
153566,Harry Potter and the Order of the Phoenix (Book 5),J. K. Rowling,2003,7,4.857142857142857
38052,The Joy Luck Club,Amy Tan,1994,7,5.142857142857143
190581,Little Altars Everywhere: A Novel,Rebecca Wells,1996,7,2.4285714285714284
71275,The Poisonwood Bible: A Novel,Barbara Kingsolver,1999,7,3.7142857142857144
77019,The Nanny Diaries: A Novel,Emma McLaughlin,2002,6,2.0
